"id","name","code","createdAt","updatedAt"
"6f458c4d-df13-4235-b3c2-1d9fc9df7e34",English,en,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
a016b260-36f6-4535-b20b-ea7af618ffc3,French,fr,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"2d585863-97ad-4543-86cf-d83bcc67e635",Spanish,es,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"65ac9888-fd45-4733-85b2-9deafe17b16c",German,de,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"9ee1d750-5cbe-4337-81d6-35d5061e8dad",Dutch,nl,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"3b46ee45-9d98-4cd6-acf2-c7e387f81c6c",Arabic,ar,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
fa56e8c1-4b00-4270-a0eb-f34158c705ce,Afar,aa,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"5fa3d464-a397-40d5-8ea9-b95cc8d643b9",Abkhazian,ab,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
a34a0c09-5513-4031-a961-4faac84f5947,Afrikaans,af,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
e04f5e72-7ada-4883-8e7f-c51a963e690c,Amharic,am,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
c5ce4379-799d-442a-bd3c-f8f264b4adce,Assamese,as,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
ac32a897-dc3d-4677-bce3-7f5092693722,Aymara,ay,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
cbb6ef83-6a1a-4572-afff-6de4d73bd0e3,Azerbaijani,az,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"887d637f-6e61-49a0-b20f-bfb0931efcc9",Bashkir,ba,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"8d524520-276f-49de-8e37-976294ee54b1",Belarusian,be,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
b0a4be4e-35f5-4348-b713-4709f7e03036,Bulgarian,bg,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"6c29c8dd-381e-49d4-aadc-33b0bd6010c3",Bihari,bh,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"5ce97f6a-99f2-4732-8631-17924b12d252",Bislama,bi,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"2f857505-380a-40ce-b76b-d2610ccf545d",Bengali/Bangla,bn,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"965a18e7-be69-4266-b047-6e42226f1acc",Tibetan,bo,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"5744cb8b-1685-4374-a2c4-e56c68c66407",Breton,br,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"0f08d614-c707-4735-9138-c28bdaaff0a3",Catalan,ca,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"154816eb-0acb-49cb-b9d6-18c7c6de1088",Corsican,co,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"06c582d0-ce51-426b-95cb-b8ac7e22524d",Czech,cs,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"3d49a839-1465-4975-81a1-a8d0a55b2bfb",Welsh,cy,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"441899ed-0771-443e-9b76-5783e2de4345",Danish,da,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"83af3706-56a5-48ca-9827-e28db259c1f5",Bhutani,dz,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
bec3653b-afde-456a-94ad-51f544616816,Greek,el,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"7c478854-37a1-482f-afc7-4daafd3b8d67",Esperanto,eo,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"0ea100ee-6d11-43ac-8150-f7851a6a571f",Estonian,et,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
de548292-0ff1-4b72-8ac5-adae77f4d3ce,Basque,eu,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
abb73044-9168-4931-935a-265c2564be2a,Persian,fa,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"31f0df65-1ae6-4f90-912f-e63f4835bdba",Finnish,fi,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"118f72ce-9ddc-4660-8e74-4019ec845b54",Fiji,fj,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
ca822326-9c6c-4ac4-a5ea-ea72d92ad76d,Faeroese,fo,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"8ff51220-f371-4236-90c4-73317cb7486c",Frisian,fy,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"3060b5ce-2c04-4f45-b582-094e1cc1d16f",Irish,ga,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"10715bd7-6155-4a5b-ad0a-cca84760270a",Scots/Gaelic,gd,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"0b07e883-7ba6-47ff-8be7-38b2ec61fcfd",Galician,gl,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
afb1a6d9-2031-47c1-bab0-1befcd1692be,Guarani,gn,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
b1dad1ca-fb3e-469e-83bb-1a2682c78b5b,Gujarati,gu,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"7ce77d63-ab62-4ac2-a166-90617e0f1599",Hausa,ha,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"8ebee9b6-b487-4830-af29-c21a17769df1",Hindi,hi,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"8ba2e9e5-ef92-4e07-b3b7-557afc936102",Croatian,hr,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"1681c69b-9f2b-4c82-be54-9758b6f1a408",Hungarian,hu,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
"8b687401-6907-441c-a722-4f2343eabbc8",Armenian,hy,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
b72bc5b0-169b-49fa-a428-4917937535d6,Interlingua,ia,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
aed0dc25-6059-401a-baef-3094c0f669c0,Interlingue,ie,2023-03-24 18:03:29.245,2023-03-24 18:03:29.245
