"id","answerText","isOriginalAnswer","languageId","answerId","createdAt","updatedAt"
"60d19311-6232-41f2-9c10-d56eb4b2bebb","Lorsqu’un homme voulait épouser une femme, deux solutions s’offraient à lui : la dot et l’échange tête à tête entre les partenaires. S’il s’agissait d’un cadet non marié, c’était au chef de lui trouver une femme et s’il s’agissait d’un homme déjà établi, c’était à lui-même que la charge incombait. Les filles étaient en général mariées dès leur puberté mais, il pouvait arriver qu’elles soient promises dès leur naissance ou lorsque leur mère était enceinte. C’est donc le père qui le plus souvent mariait sa fille sans son consentement. Si elle traversait la puberté sans être mariée, elle pouvait bénéficier d’un mariage.",true,a016b260-36f6-4535-b20b-ea7af618ffc3,d87e4045-d981-4deb-88f4-77ce32399e3b,2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
"576d7f59-bc6d-4f58-b414-68735e72a4dd","L'habillement n'a jamais été une symbolique importante dans le mariage chez les Bulu. Avant le mariage, le couple s'habillait de façon ordinaire, mais proprement. Pendant le mariage, la femme se maquillait simplement, utilisait une couronne de feuilles d’arbres, un collier fait à base de coquilles vides d'escargots et d'autres enjoliveurs naturels pour embellir son habillement. Après le mariage, l'habillement redevenait le même. Cette simplicité a évolué au fil du temps et les couples lors de leurs mariage laissaient leur OBOM, pour se vêtir d'un tissu pagne qu'ils attachaient simplement autour du corps.",true,a016b260-36f6-4535-b20b-ea7af618ffc3,e98b7495-3019-42fa-80fb-363468a82ac2,2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
"310681ca-aa7c-48b3-93ab-9a2cf9f4d2e5","Celui ou celle qui s'était décidé à organiser un mariage, parfois sur les conseils d'anciens, s'adressait à la femme-chef de mevungu la plus proche du village. Une date était fixée. La femme-chef se chargeait de convoquer les femmes déjà initiées, l'organisatrice préparait une grande quantité de nourriture et du vin de palme et chaque participante apportait de son côté des mets qu'elle avait préparés. Par la suite, la famille du marié remettait la dot à la belle famille. Une fois la dot acceptée, le Chef du village célébrait le mariage et les invités se partageaient les repas sous une ambiance festive, animée par des groupes culturels.",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"52da8df5-b0d1-46fc-9e17-828723aaeb63",2023-03-24 18:03:29.422,2023-03-24 18:03:29.422
"4ad557e3-c8d9-468d-9689-142dba243ddf","C’était au père de prendre l'initiative de marier sa fille. Avant l'arrivée des prêtres, on donnait les femmes comme des chèvres. On les ligotait et on les livrait au cas où elles refusaient. Parfois, la jeune fille ne savait même pas qu’elle était mariée. Son père était parti en voyage. Là-bas, il avait perçu une énorme dot et n'avait rien dit à son retour. Plus tard, arrivait le prétendant. Le mari dotait avec des bikie, qui ne servaient à rien du tout. On pouvait tout de même acheter, avec, une chèvre dont on évaluait à peu près la valeur. Mais l'argent, lui, servait à bien autre chose !",true,a016b260-36f6-4535-b20b-ea7af618ffc3,e727b6c6-b90d-42a9-887b-35106ace7898,2023-03-24 18:03:29.442,2023-03-24 18:03:29.442
"9643b455-b495-434e-8b11-d333468dbdab","Chez les Bulu, tout est dans le verbe. Proverbes et maîtrise de la langue sont des atouts. Les bulu ont cette particularité du culte des traditions qu'on s'efforce de transmettre à la jeunesse grandissante. Le mariage traditionnel chez les Bulu de nos jours est devenu très onéreux. À chacune des étapes, le futur marié est amené à acheter des présents matériels et à dépenser beaucoup d’argent pour obtenir le consentement de la belle-famille, par ricochet celui de la mariée. Toute chose qui tend à décourager les hommes a pour conséquence l'augmentation du célibat chez les jeunes.",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"3c884f25-df39-4f76-888d-36120a7cf6fe",2023-03-24 18:03:29.467,2023-03-24 18:03:29.467
"6e8ca4ca-c366-44a2-8d89-4d2a24f8bef6","En la actualidad para escoger a la pareja primero entrega al joven  que se case con la señorita. y luego los familiares entregaron al joven ala hermana del joven  como un intercambio, a veces se casan con personas cercanas y otros buscan personas de distancia lejana para unir y ser familia más grande en territorio algunos se huyen del hogar y se unen con la pareja",true,"2d585863-97ad-4543-86cf-d83bcc67e635","64fbe717-6af0-49d7-9737-1b5d5869573a",2023-03-24 18:03:29.490,2023-03-24 18:03:29.490
"0958456d-7d4b-41f6-8dde-63d528729934"," Hace 60 años atrás para el matrimonio utilizan vestimenta tradicionales elaborados por padres de la pareja para acompañar en noche de matrimonio ,los hombres iban con lanzas hacer cantos de casamiento  y mujeres vestidos de vestimenta tradicional y los niños también. Todos con coronas elaborados con plumas. eso fue despues de contacto con mundo occidental. Antes de eso fue diferente en proceso de matrimonio solo podia casar despues de una mantaza ¿",true,"2d585863-97ad-4543-86cf-d83bcc67e635",df7d167f-2318-4c24-87d2-df796ff4254d,2023-03-24 18:03:29.520,2023-03-24 18:03:29.520
"5002cfd7-6686-4219-98ae-d6ee296e5819","En tradicion cultural he  historial waorani  no avido celebracion de ceremonias despues de casamiento una ves se casan y viven. Solo en casamiento se celebran todos. Unidos con familiares de joven y los familiares de la  señorita  cantan cantos de matrimonio de caseria ,del trabajo ,de guerra ,animo en todo los trabajos le regalan lanzas ,coronas shigras. Por su union ala pareja ,le hortigan ala señorita y al joven le castigan para que no comporte mal",true,"2d585863-97ad-4543-86cf-d83bcc67e635","17ac63c5-0682-44fa-83c8-cf87a9980bea",2023-03-24 18:03:29.550,2023-03-24 18:03:29.550
"724b3376-4045-4337-975c-f8db932c773c","En la cultura waorani si un anciano del pueblo te da de casar permanezcan juntos  es como una autoridad  superior  , en actualidad muchos jovenes se alejan del hogar y se unen con la pareja  van de fiesta y asen  casar  son los ancianos que le asen casar  para que aya mas familias en territorio  y sean defensores de la selva",true,"2d585863-97ad-4543-86cf-d83bcc67e635","438a9193-6803-4b83-b6c2-15b78ea9a293",2023-03-24 18:03:29.591,2023-03-24 18:03:29.591
d3baa2fb-4770-4673-9845-ab44bbac7b15,"La historia real del pueblo waorani en tema de proceso de matrimonio ,Hace mas de 90 años atra antes de civilizacion con mundo occideltal. No ubo pedidos para intercambiar con persona lejanas  de parejas  ,solo podian octener alas mujeres despues de mantaza  con lanzas  asus  padres y madres  despues que quedaban huerfanas podia  el hombre llevar para que pudieran convertir en  sus mujeres asi era el hombre waorani. Solo en venganza podian recuperar lo perdido y  tener mujer en territorio . No ubo tranquilidad entre tribus waorani. Guerra tras Guerra para sobre vivir",true,"2d585863-97ad-4543-86cf-d83bcc67e635",dec5b050-ac80-4a0d-a52b-4ed0c54641ae,2023-03-24 18:03:29.619,2023-03-24 18:03:29.619
