"id","languageId","type","token","precision","occurence","isOriginalQualification","qualificationId","createdAt","updatedAt"
fdeb5be2-55eb-4776-a48a-5b4804b5f520,a016b260-36f6-4535-b20b-ea7af618ffc3,noun,dot,appelée Nsuba constituée d'éléments visiblement simples mais très sympathiques,1,true,e9318ded-65b4-450c-a9a9-86c00d8977dd,2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
df6d2f45-7c16-42df-b987-8902009974fd,a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,partenaires,qu'on appelle Dia'an,1,true,bacf51c7-0ac5-4dde-9238-cc3905065f30,2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
"0764a733-004a-4d80-ad31-d53f44cfc010",a016b260-36f6-4535-b20b-ea7af618ffc3,noun,puberté,"afin d'éviter qu'elle ne perdent cette virginité avant d'être mariée,  ce qui la rendrait impure, et sans grande valeur, avec pour conséquence que la dot soit revue à la baisse, et chez certaines familles, côté marié, elles pouvaient exiger l'annulation du mariage",1,true,"875a3d69-cf50-46c4-baa2-f97f9c3aff56",2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
"1ac1acc8-2629-4117-9901-13d320a63ea7",a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,enceinte,"(lorsque l’on estimait de la bonne moralité des parents, on supposait de la bonne éducation de l’enfant et donc du bon comportement de la futur mariée",1,true,b5d3ec3e-a901-4d36-bba4-f9edf8b893c2,2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
"551c1879-b101-4f04-a524-327af6b71d92",a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,père,qui chez les Bulu est le garant et le détenteur de toutes les bénédictions nécessaires pour la réussite de l'enfant,1,true,"9b80ee06-73bd-487b-b00d-dcb8f5770e83",2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
"56b61352-88e9-4d34-a69c-326a195974c4",a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,mariage,consenti,1,true,"30370680-e3e0-4027-a133-9da0a570d3bd",2023-03-24 18:03:29.377,2023-03-24 18:03:29.377
cf966ef7-23ac-4865-876b-3d5a76a7bf88,a016b260-36f6-4535-b20b-ea7af618ffc3,noun,Bulu,venant en partie du fait qu'ils n'étaient pas de très grands artisans du textile,1,true,d87ae8c9-78fe-48a6-947f-cf5957dbde56,2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
e0bca3ba-557e-4e1b-9aa0-de70327bbf06,a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,ordinaire ,se couvrant avec des feuilles d'arbres et leur OBOM,1,true,"4aefe4df-424e-43d7-a6a6-cf0fe22fd46d",2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
"2a0f8738-7f03-461d-8148-4fe22fd1b64c",a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,proprement ,Étant des hommes de la forêt qui dispose de feuilles d'arbres en abondance,1,true,e18e259c-4cd5-4f97-916b-de98d015f840,2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
"7498b386-678b-4684-b2d7-13fdd09058d0",a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,simplement ,avec des argiles de différentes couleurs,1,true,a796a1d9-a28e-4075-be58-d73cfc595990,2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
"0d4b3804-0c34-42b5-b1cf-ac3a4ad6ac2c",a016b260-36f6-4535-b20b-ea7af618ffc3,noun,escargots,On les confectionnait en les perçant pour faire passer une liane.. Ce collier faisait également un bruit qui rythmait la danse des mariés lors des festivités,1,true,e07f3e37-9b06-45fe-b03c-aca655cb5044,2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
f3c9e2e4-3137-4ed7-b743-ea3b99c798cf,a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,naturels,"fleurs, coquillages de petits mollusques pour les bracelets",1,true,"63a33144-1eef-43b7-9ade-e5d2401c8323",2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
a54a7db0-3799-4998-8ba8-cd6417f5df33,a016b260-36f6-4535-b20b-ea7af618ffc3,noun,pagne,un même tissu servait à toute la communauté des années durant,1,true,"345f117e-b05a-4b5f-9f0f-bcc1d2459478",2023-03-24 18:03:29.400,2023-03-24 18:03:29.400
b879203b-639f-416c-b743-53854368fef8,a016b260-36f6-4535-b20b-ea7af618ffc3,appreciation,agée ,"qui devait organiser en collaboration avec les autres plus jeune, tout le volet restauration, et c'est pendant ces occasions qu'elle transmettait à ses cadettes en mariage dans le même village les secrets pour bien conserver leurs homme, comment se tenir au village",1,true,"236e5a6b-979a-486c-b1b1-a158831128a1",2023-03-24 18:03:29.422,2023-03-24 18:03:29.422
eaa58d7a-b750-4b58-b832-8a20675f963d,a016b260-36f6-4535-b20b-ea7af618ffc3,action,préparés,"L'enfant du village est considéré comme l'enfant de toute la communauté, et par conséquent toute la communauté participe à chaque événement comme membre d'une même famille",1,true,cdf71810-9352-4ff6-941e-84bfb65bade3,2023-03-24 18:03:29.422,2023-03-24 18:03:29.422
